2026-04-07 04:47:53 | INFO     | demo_train                |   prophet      RMSE = 347.73
2026-04-07 04:47:53 | INFO     | demo_train                | =======================================================
2026-04-07 04:47:53 | INFO     | demo_train                | Demo train complete ✓
2026-04-07 04:47:57 | INFO     | evaluate                  | Logger 'evaluate' initialised → logs/pipeline_20260407.log
2026-04-07 04:47:57 | INFO     | evaluate                  | === STAGE: evaluate ===
2026-04-07 04:47:57 | INFO     | evaluate                  | Loaded metrics for 7 models
2026-04-07 04:47:57 | INFO     | evaluate                  | 
=======================================================
2026-04-07 04:47:57 | INFO     | evaluate                  | FINAL MODEL RANKING (lower RMSE = better)
2026-04-07 04:47:57 | INFO     | evaluate                  | =======================================================
2026-04-07 04:47:57 | INFO     | evaluate                  |   #1  arima         RMSE = 0.00 ← BEST
2026-04-07 04:47:57 | INFO     | evaluate                  |   #2  xgboost       RMSE = 11.75
2026-04-07 04:47:57 | INFO     | evaluate                  |   #3  ar            RMSE = 135.45
2026-04-07 04:47:57 | INFO     | evaluate                  |   #4  sarima        RMSE = 157.54
2026-04-07 04:47:57 | INFO     | evaluate                  |   #5  sarimax       RMSE = 157.94
2026-04-07 04:47:57 | INFO     | evaluate                  |   #6  arimax        RMSE = 308.44
2026-04-07 04:47:57 | INFO     | evaluate                  |   #7  prophet       RMSE = 347.73
2026-04-07 04:47:57 | INFO     | evaluate                  | =======================================================
2026-04-07 04:47:57 | INFO     | evaluate                  | Best model: arima  RMSE=0.00
2026-04-07 04:47:57 | INFO     | evaluate                  | ✓ Promoted arima.pkl → best_model.pkl
2026-04-07 04:47:57 | INFO     | evaluate                  | Best model info saved → models/best_model_info.json
2026-04-07 04:47:57 | INFO     | evaluate                  | Full evaluation report → reports/evaluation.json
2026-04-07 04:47:57 | INFO     | evaluate                  | Evaluate stage complete ✓
2026-04-07 10:24:37 | INFO     | app                       | Logger 'app' initialised → logs/pipeline_20260407.log
2026-04-07 10:25:01 | INFO     | dataset                   | Logger 'dataset' initialised → logs/pipeline_20260407.log
2026-04-07 10:25:01 | INFO     | dataset                   | === STAGE: generate dataset ===
2026-04-07 10:25:01 | INFO     | dataset                   | Generating 5 stores × 10 products × 100 days = 5000 rows
2026-04-07 10:25:01 | INFO     | dataset                   | Dataset shape: (5000, 7)
2026-04-07 10:25:01 | INFO     | dataset                   | Sales stats — min:1 max:340 mean:118.2
2026-04-07 10:25:01 | DEBUG    | dataset                   | Date range: 2022-01-01 00:00:00 → 2022-04-10 00:00:00
2026-04-07 10:25:01 | INFO     | dataset                   | Saved 5000 rows → data/raw/sales.csv
2026-04-07 10:25:01 | INFO     | dataset                   | Dataset generation complete ✓
2026-04-07 10:25:03 | INFO     | ingest                    | Logger 'ingest' initialised → logs/pipeline_20260407.log
